Реализация по АЗС май 22, литры																																	
АЗС	Номенклатура	01.05.2022	02.05.2022	03.05.2022	04.05.2022	05.05.2022	06.05.2022	07.05.2022	08.05.2022	09.05.2022	10.05.2022	11.05.2022	12.05.2022	13.05.2022	14.05.2022	15.05.2022	16.05.2022	17.05.2022	18.05.2022	19.05.2022	20.05.2022	21.05.2022	22.05.2022	23.05.2022	24.05.2022	25.05.2022	26.05.2022	27.05.2022	28.05.2022	29.05.2022	30.05.2022	31.05.2022	ИТОГО
АЗС 442	АИ-98	   354	   320	   250	   321	   209	   219	   406	   160	   166	   17	   121	   107	   173	   237	   290	   115	   250	   197	   30	   218	   155	   542	   190	   126	   134	   220	   206	   96	   418	   290	   25	  6 563
